dataset,source,epoch,warmup_total,train_loss,train_fused_or_both_acc,train_mod1_acc,train_mod2_acc,val_acc,val_mod1_acc,val_mod2_acc
Food,Food_v5/savepath/dml_food101/training.log,0,5,7.3388,0.5976,0.3113,0.4320,0.82523,NA,NA
Food,Food_v5/savepath/dml_food101/training.log,1,5,3.2337,0.9020,0.7974,0.6018,0.90641,NA,NA
Food,Food_v5/savepath/dml_food101/training.log,2,5,2.3931,0.9400,0.8287,0.6932,0.91112,NA,NA
Food,Food_v5/savepath/dml_food101/training.log,3,5,1.8620,0.9622,0.8389,0.7622,0.91094,NA,NA
Food,Food_v5/savepath/dml_food101/training.log,4,5,1.4818,0.9757,0.8524,0.8185,0.90223,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,0,10,3.1515,0.5562,0.4698,0.5491,0.64162,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,1,10,2.7169,0.6251,0.4828,0.6407,0.63006,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,2,10,2.6945,0.6439,0.4938,0.6595,0.63776,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,3,10,2.7200,0.6628,0.4971,0.6712,0.65125,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,4,10,1.6520,0.8947,0.4977,0.9032,0.64547,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,5,10,1.0220,0.9877,0.5965,0.9955,0.73025,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,6,10,0.7228,0.9942,0.7492,0.9961,0.72640,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,7,10,0.4479,0.9955,0.8551,0.9981,0.76493,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,8,10,0.2724,0.9994,0.9110,0.9948,0.77649,NA,NA
MVSA,MVSA_v5/savepath/dml_mvsa/training.log,9,10,0.1933,0.9981,0.9584,0.9955,0.74759,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,0,20,6.5520,0.3186,0.2819,0.2807,0.4633,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,1,20,3.8360,0.6296,0.6169,0.4956,0.6177,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,2,20,2.4992,0.8003,0.7901,0.6220,0.6544,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,3,20,1.5199,0.9229,0.9039,0.7876,0.6865,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,4,20,0.9055,0.9772,0.9545,0.8660,0.6789,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,5,20,0.5046,0.9937,0.9848,0.9229,0.6957,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,6,20,0.3396,0.9975,0.9912,0.9494,0.6942,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,7,20,0.2029,1.0000,0.9975,0.9671,0.6850,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,8,20,0.1794,1.0000,0.9937,0.9823,0.6774,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,9,20,0.1196,0.9987,0.9975,0.9912,0.6758,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,10,20,0.0808,1.0000,0.9987,0.9937,0.6881,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,11,20,0.0640,1.0000,0.9987,0.9962,0.6865,NA,NA
NYUD,RGB_v5/savepath/nyud/dml_nyu_seed0_lr0.00015/training.log,12,20,0.0507,1.0000,1.0000,0.9987,0.7003,NA,NA
